date,rating,user_id,item_id,Time from release
2015-12-12,2.0,0,0,0.7835616438356164
2015-12-21,8.0,1,0,0.8082191780821918
2015-12-18,8.0,2,0,0.8
2015-12-18,6.0,3,0,0.8
2015-12-18,10.0,4,0,0.8
2015-12-21,8.0,5,0,0.8082191780821918
2015-12-02,10.0,6,0,0.7561643835616438
2015-12-02,10.0,7,0,0.7561643835616438
2015-12-01,2.0,8,0,0.7534246575342466
2015-12-01,10.0,9,0,0.7534246575342466
2015-11-29,10.0,10,0,0.7479452054794521
2015-12-03,8.0,11,0,0.7589041095890411
2015-12-03,10.0,12,0,0.7589041095890411
2015-12-08,10.0,13,0,0.7726027397260274
2015-12-06,10.0,14,0,0.7671232876712328
2015-12-30,10.0,15,0,0.8328767123287671
2015-12-30,6.0,16,0,0.8328767123287671
2015-12-30,10.0,17,0,0.8328767123287671
2015-12-29,10.0,18,0,0.8301369863013699
2015-12-29,10.0,19,0,0.8301369863013699
2016-01-03,10.0,20,0,0.8438356164383561
2016-01-01,9.0,21,0,0.8383561643835616
2016-01-01,10.0,22,0,0.8383561643835616
2016-01-01,10.0,23,0,0.8383561643835616
2015-12-25,10.0,24,0,0.8191780821917808
2015-12-25,8.0,25,0,0.8191780821917808
2015-12-24,10.0,26,0,0.8164383561643835
2015-12-23,8.0,27,0,0.8136986301369863
2015-12-22,10.0,28,0,0.810958904109589
2015-12-27,6.0,29,0,0.8246575342465754
2015-10-31,8.0,30,0,0.6684931506849315
2015-10-29,10.0,31,0,0.663013698630137
2015-11-01,10.0,32,0,0.6712328767123288
2015-10-22,8.0,33,0,0.6438356164383562
2015-10-28,8.0,34,0,0.6602739726027397
2015-10-27,10.0,35,0,0.6575342465753424
2015-10-27,10.0,36,0,0.6575342465753424
2015-11-28,10.0,37,0,0.7452054794520548
2015-11-21,10.0,38,0,0.726027397260274
2015-11-26,8.0,39,0,0.7397260273972602
2015-11-06,10.0,40,0,0.684931506849315
2015-11-06,10.0,41,0,0.684931506849315
2015-11-11,10.0,42,0,0.6986301369863014
2015-10-21,6.0,43,0,0.6410958904109589
2016-02-10,8.0,44,0,0.947945205479452
2016-02-09,10.0,45,0,0.9452054794520548
2016-02-16,10.0,46,0,0.9643835616438357
2016-02-16,8.0,47,0,0.9643835616438357
2016-01-27,10.0,48,0,0.9095890410958904
2016-02-04,10.0,49,0,0.9315068493150684
2016-02-03,10.0,50,0,0.9287671232876712
2016-02-03,10.0,51,0,0.9287671232876712
